Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
20004907,"
9901 Ringhaver Dr
Orlando
FL
",Orlando,FL,,Ring Power - Pepsi Machine Main Breakroom,2144,promo,8,18.26,$6.80,$30.45,$0.00,$37.25,$0.40,$0.00,$0.00,$0.00,$6.40
20004908,"
711 Centerview Blvd
Kissimmee
FL
34741
",Kissimmee,FL,34741,Hobby Lobby - Beverage Machine,2306,promo,6,30.43,$5.25,$12.00,$0.00,$17.25,$0.27,$0.00,$0.00,$0.00,$4.98
20004909,"
711 Centerview Blvd
Kissimmee
FL
34741
",Kissimmee,FL,34741,Hobby Lobby - Snack Machine,2220,promo,2,10.63,$1.85,$15.55,$0.00,$17.40,$0.10,$0.00,$0.00,$0.00,$1.75
20004910,"
1000 Mid Florida Drive
Kissimmee
FL
34741
",Kissimmee,FL,34741,Mondelez - Snack Machine,2137,promo,4,24.36,$4.75,$14.75,$0.00,$19.50,$0.26,$0.00,$0.00,$0.00,$4.49
20004911,"
9901 Ringhaver Dr
Orlando
FL
",Orlando,FL,,Ring Power - Snack Machin  Main Breakroom,2103,promo,19,35.5,$19.90,$36.15,$0.00,$56.05,$1.10,$0.00,$0.00,$0.00,$18.80
20004912,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Coke Machine Main Breakroom,2107,promo,6,25.35,$9.00,$26.50,$0.00,$35.50,$0.48,$0.00,$0.00,$0.00,$8.52
20004913,"
100 Technology Pkwy Suite 155
Lake Mary
FL
32746
",Lake Mary,FL,32746,Avella - Pepsi Machine,2286,promo,14,38.1,$12.00,$19.50,$0.00,$31.50,$0.88,$0.00,$0.00,$0.00,$11.12
20004914,"
1000 Mid Florida Drive
Orlando
FL
32824
",Orlando,FL,32824,Mondelez - Snack Machine,2133,promo,17,56.67,$25.50,$19.50,$0.00,$45.00,$1.36,$0.00,$0.00,$0.00,$24.14
20004927,"
7544-7548 Municipal Drive
Orlando
FL
32819
",Orlando,FL,32819,American Hotel Register - Snack Machine,2109,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004928,"
201 East Pine Street
Orlando
FL
32801
",Orlando,FL,32801,Greenspoon Marder -,2084,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004929,"
407 Centerpointe Circle Suite 1679
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Adcomm - Coke Machine,2384,promo,3,3.51,$5.00,$43.50,$94.00,$142.50,$0.27,$0.00,$0.00,$0.00,$4.73
20004930,"
12612 Challenger Pkwy Suite 365
Orlando
FL
32826
",Orlando,FL,32826,Loyal Source - Snack Machine,2258,promo,11,8.56,$12.50,$39.50,$94.00,$146.00,$0.67,$0.00,$0.00,$0.00,$11.83
20004931,"
3707 West Colonial Drive
Orlando
FL
32808
",Orlando,FL,32808,GoCo -  GlassFront Machine,2110,promo,35,72.46,$60.50,$23.00,$0.00,$83.50,$3.29,$0.00,$0.00,$0.00,$57.21
20004932,"
Warehouse
Longwood
FL
32763
",Longwood,FL,32763,Removed From Brookdale,2192,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004933,"
7675 Municipal Dr
Orlando
FL
32819
",Orlando,FL,32819,L3 Coleman - Snack Machine,2236,promo,25,34.59,$23.85,$45.10,$0.00,$68.95,$1.22,$0.00,$0.00,$0.00,$22.63
20004934,"
407 Centerpointe Circle Suite 1679
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Adcomm - Snack Machine,3039,promo,5,3.56,$6.00,$162.50,$0.00,$168.50,$0.33,$0.00,$0.00,$0.00,$5.67
20004935,"
407 Centerpointe Circle Suite 1679
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Adcomm - Pepsi Machine,2186,promo,4,4.09,$6.00,$28.00,$112.75,$146.75,$0.32,$0.00,$0.00,$0.00,$5.68
20004936,"
2301 Maitland Center Pkwy
Maitland
FL
32751
",Maitland,FL,32751,CDM - Beverage Machine 3rd FL,2048,promo,4,33.33,$3.40,$6.80,$0.00,$10.20,$0.20,$0.00,$0.00,$0.00,$3.20
20004937,"
2301 Maitland Center Pkwy
Maitland
FL
32751
",Maitland,FL,32751,CDM - Snack Machine 3rd FL,2012,promo,12,75,$12.60,$4.20,$0.00,$16.80,$0.66,$0.00,$0.00,$0.00,$11.94
20004938,"
7675 Municipal Dr
Orlando
FL
32819
",Orlando,FL,32819,L3 Coleman - GlassFront Machine,2259,promo,11,28.48,$11.75,$29.50,$0.00,$41.25,$0.63,$0.00,$0.00,$0.00,$11.12
20009223,"
330 Carswell Ave
Holly Hill
FL
32117
",Holly Hill,FL,32117,Product Quest - 4W Snack Machine,2171,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009224,"
330 Carswell Ave
Daytona Beach
FL
32117
",Daytona Beach,FL,32117,Product Quest - 5W Snack Machine,2059,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009225,"
2825 South US Highway 17-92
Casselberry
FL
32708
",Casselberry,FL,32708,Aviation Institute - Cold Food Machine,3037,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009226,"
2825 South US Highway 17-92
Casselberry
FL
32707
",Casselberry,FL,32707,Aviation Institute - Can Beverage Machine,2015,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009227,"
1 Jeff Fuqua Blvd
Orlando
FL
32827
",Orlando,FL,32827,United Ticketing - GlassFront Machine,2278,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
