Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
20009277,"Break Room
1900 Hotel Plaza Boulevard
Lake Buena Vista
FL
32830
",Lake Buena Vista,FL,32830,Reedy Creek - Pepsi Beverage Machine,2282,promo,1,1.89,$0.75 ,$39.00 ,$0.00 ,$39.75 ,$0.04 ,$0.00 ,$0.00 ,$0.00 ,$0.71 
20009278,"
13295 Flamingo Crossings Boulevard
Winter Garden
FL
34787
",Winter Garden,FL,34787,TownPlace Suites - Pepsi Beverage Machine,2194,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009279,"I heart Media
Maitland
FL
32746
",Maitland,FL,32746,I heart Media 4th Fl Coke,none,promo,21,47.83,$38.50 ,$42.00 ,$0.00 ,$80.50 ,$2.20 ,$0.00 ,$0.00 ,$0.00 ,$36.30 
20009280,"Game Room
109 Madiera Beach Boulevard
Kissimmee
FL
34746
",Kissimmee,FL,34746,Terra Verde - Coke Beverage Machine,2164,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009281,"
13279 Flamingo Crossings Boulevard
Winter Garden
FL
34787
",Winter Garden,FL,34787,SpringHill Suites - Snack Machine,2242,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009282,"1023 W Central Pkwy
Altamonte Springs
FL
",Altamonte Springs,FL,,Jeunesse Global - Snack Machine,2183,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009283,"Avella Healthcare
400 Technology Park
Lake Mary
FL
32746
",Lake Mary,FL,32746,Avella - Snack Machine,2284,promo,13,40.57,$10.75 ,$15.75 ,$0.00 ,$26.50 ,$0.71 ,$0.00 ,$0.00 ,$0.00 ,$10.04 
20009284,"Colonial Grand Ln
Lake Mary
FL
",Lake Mary,FL,,Pershing - Soda Machine ,2082,promo,1,6.9,$1.50 ,$20.25 ,$0.00 ,$21.75 ,$0.08 ,$0.00 ,$0.00 ,$0.00 ,$1.42 
20009285,"
269 Hunt Park Cove
Longwood
FL
32750
",Longwood,FL,32750,Legendary Athletics - Glass Front Pepsi Beverage Machine,2092,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009286,"Truckers Lounge
1001 Jetstream Drive
Orlando
FL
32824
",Orlando,FL,32824,Old Dominion - Pepsi Truckers Lounge,2114,promo,11,67.42,$22.25 ,$10.75 ,$0.00 ,$33.00 ,$1.25 ,$0.00 ,$0.00 ,$0.00 ,$21.00 
20009287,"3851 Express St
Orlando
32827
",Orlando,32827,,E-Z Rent A Car Breakroom - Snack Machine,2251,promo,6,100,$6.15 ,$0.00 ,$0.00 ,$6.15 ,$0.33 ,$0.00 ,$0.00 ,$0.00 ,$5.82 
20009288,"3851 Express St
Orlando
32827
",Orlando,32827,,E-Z Car Rental Breakroom - Pepsi Beverage Machine,2233,promo,4,2.34,$3.00 ,$125.25 ,$0.00 ,$128.25 ,$0.16 ,$0.00 ,$0.00 ,$0.00 ,$2.84 
20009289,"1469-1547 Tradeport Dr
Orlando
32824
",Orlando,32824,,Penser Breakroom - Pepsi Beverage Machine,2348,promo,4,12.23,$4.25 ,$30.50 ,$0.00 ,$34.75 ,$0.23 ,$0.00 ,$0.00 ,$0.00 ,$4.02 
20009290,"
4001-4099 McNeil Road
Forest City
FL
32714
",Forest City,FL,32714,Teague Middle School - Beverage Machine,,,1,50,$0.75 ,$0.75 ,$0.00 ,$1.50 ,$0.04 ,$0.00 ,$0.00 ,$0.00 ,$0.71 
20009291,"
269 Hunt Park Cove
Longwood
FL
32750
",Longwood,FL,32750,Legendary Athletics - Snack Machine ,2077,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009292,"
8900 South US Highway 17 92
Maitland
FL
32751
",Maitland,FL,32751,Orlando Car Deals - Coke Machine,2197,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009293,"
8900 South US Highway 17 92
Maitland
FL
32751
",Maitland,FL,32751,Orlando Car Deals - Snack Machine,2218,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009294,"
925 Florida Central Parkway
Longwood
FL
32750
",Longwood,FL,32750,Spectra Flooring - Snack Machine,2143,promo,3,15.29,$3.25 ,$18.00 ,$0.00 ,$21.25 ,$0.17 ,$0.00 ,$0.00 ,$0.00 ,$3.08 
